epoch,accuracy,loss,val_accuracy,val_loss
0,0.37005258,1.326437753,0.45244956,1.268567282
1,0.6543039,0.980068353,0.662824214,0.912150501
2,0.8021035,0.566358537,0.717579246,0.751141353
3,0.86327153,0.390703134,0.720461071,0.757824651
4,0.89814556,0.306215846,0.711815536,0.806984683
5,0.91502905,0.247102027,0.694524467,0.877230633
6,0.9349571,0.20662176,0.700288177,0.925531489
7,0.9468586,0.16903582,0.680115283,0.964210485
8,0.9559922,0.150810029,0.668587923,1.064577437
9,0.9595904,0.129379992,0.674351573,1.110406752
10,0.96567947,0.116668748,0.685878992,1.172215224
11,0.9676169,0.106185351,0.674351573,1.244117579
12,0.9681705,0.102973985,0.697406352,1.231708908
13,0.97259897,0.093434878,0.691642642,1.275957697
14,0.97232217,0.080699899,0.682997108,1.310651948
15,0.9728757,0.085333099,0.685878992,1.329858405
16,0.9739828,0.075226131,0.688760817,1.40377759
17,0.97508997,0.07501046,0.680115283,1.419210099
18,0.9731525,0.07557543,0.682997108,1.421481033
19,0.97508997,0.072702315,0.682997108,1.462714144
20,0.97647387,0.06698329,0.682997108,1.477528611
21,0.97592026,0.067465279,0.674351573,1.532173498
22,0.97508997,0.064367289,0.671469748,1.571843316
23,0.9770274,0.061492734,0.688760817,1.551047444
24,0.97896487,0.060949162,0.680115283,1.570415256
